,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
473,No,
474,,
475,Yes,Cooking and cleaning.
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,No,
485,,
486,,
487,,
488,,
489,Yes,Reading 
490,,
491,,
492,,
493,Yes,Reading text books
494,Yes,Help in home chores and also take care of our goats.
495,Yes,Reading the text books school at home.
496,Yes,I read at home alone.
497,No,
498,,
499,,
500,,
501,,
502,,
503,,
504,,
505,Yes,Reading
506,Yes,"Digging ,cook and fetching water."
507,,
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,Yes,Self study
533,No,
534,,
535,,
536,No,
537,Yes,Reading
538,No,
539,,
540,,
541,,
542,No,
543,No,
544,,
545,No,
546,Yes,Studying my texts book
547,,
548,,
549,Yes,Using my textbooks
550,,
551,Yes,Studying my exercise books
552,Yes,I'm learning anything
553,No,
554,Yes,Revising my textbooks
555,,
556,,
557,Yes,Reading notes 
558,No,
559,,
560,,
561,Yes,"Cooking , harvesting, collecting fire woods and reading text books"
562,Yes,Reading
563,Yes,Reading
564,Yes,Studies
565,No,
566,,
567,,
568,No,
569,No,
570,No,
571,,
572,No,
573,No,
574,,
575,Yes,Studies
576,,
577,Yes,Reading.
578,Yes,Group studies with colleagues
579,Yes,Reading
580,Yes,Reading the text books.
581,Yes,Reading.
582,Yes,Reading.
583,Yes,Reading.
584,,
585,,
586,,
587,Yes,I study lessons and do farming.
588,No,
589,,
590,,
591,,
592,,
593,,
594,Yes,Several works for example cooking and cleaning the utensils.
595,Yes,I do go on farming.
596,,
597,,
598,Yes,Group work
599,Yes,Studies
600,No,
601,,
602,Yes,Studies
603,Yes,Studies
604,,
605,Yes,Studies
606,,
607,,
608,No,
609,Yes,Studies
610,No,
611,,
612,Yes,reading  the text books
613,Yes,Reading my books
614,Yes,"Cultivation, fetching water and fire wood"
615,No,
616,Yes,Practing my old books
617,No,
618,Yes,Reading my books
619,No,
620,No,
621,No,
622,,
623,,
624,,
625,Yes,Am doing studies
626,,
627,,
628,Yes,Group studies
629,,
630,,
631,,
632,,
633,,
634,Yes,We revised the previous lessons at home
635,,
636,,
637,Yes,Reading
638,,
639,,
640,,
641,No,
642,,
643,,
644,No,
645,,
646,Yes,Personal studies
647,Yes,Self study 
648,,
649,Yes,My mum is teaching us at home here.
650,,
651,Yes,Self study 
652,Yes,Self study. 
653,,
654,No,
655,,
656,No,
657,Yes,Doing my own study using my exercise books 
658,Yes,Revising my books myself 
659,Yes,I practice writing A B C D.
660,,
661,Yes,So that he don't not forget what his teacher taught them
662,,
663,,
664,No,
665,,
666,No,
667,No,
668,,
669,Yes,Reading Tex books
670,,
671,Yes,Reading
672,,
673,,
674,No,
675,No,
676,No,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,No,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,No,
701,,
702,,
703,,
704,Yes,"Practing what I  Iearned before covid19 and read news papers
"
705,,
706,Yes,Household work and garden work
707,Yes,Study the topics of my interest
708,,
709,,
710,Yes,"Reading and writing,revising my previous work in school"
711,,
712,Yes,Reading news papers and revising my books
713,Yes,Practing my previous work and cooking
714,,
715,Yes,Revising and reading and writing
716,Yes,Practing my books and reading news papers
717,,
718,Yes,Practice and revising my books
719,,
720,Yes,Practice and revise my previous work
721,,
722,Yes,Practice and revise my previous work
723,Yes,Practice and revise my previous work
724,Yes,Reading and reading the my previous work
725,Yes,Reading my previous work
726,Yes,Doing revision in my previous work
727,Yes,Revision
728,Yes,Revision of the things I Iearned in school
729,Yes,Reading and writing
730,,
731,Yes,Revising and practicing
732,,
733,Yes,Revising my previous lesson
734,,
735,Yes,Reading books
736,,
737,Yes,Reading and writing revision
738,,
739,Yes,I am practicing my previous work
740,,
741,Yes,Practing my previous work from the school
742,,
743,Yes,Practing and revising
744,Yes,Reading and precise
745,Yes,Reading and writing
746,Yes,Mostly revising my previous work
747,Yes,Revision on the previous work
748,Yes,Revision
749,Yes,I do revision
750,Yes,Doing my revision
751,Yes,Doing my revision
752,Yes,Revision and practice the previous work
753,Yes,Revision
754,,
755,,
756,,
757,,
758,No,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,No,
771,Yes,I revised theast lessons
772,Yes,Read my text books.
773,,
