,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
1796,,
1797,Yes,House activities
1798,,
1799,Yes,Studying
1800,Yes,Mending
1801,,
1802,,
1803,,
1804,,
1805,,
1806,,
1807,,
1808,,
1809,,
1810,,
1811,,
1812,,
1813,,
1814,,
1815,,
1816,Yes,Revising my previous work
1817,Yes,Revising my previous work
1818,,
1819,,
1820,,
1821,No,
1822,Yes,Practing my previous work at school
1823,,
1824,,
1825,Yes,Practing and revising my previous work at school
1826,Yes,Practing and revising my previous work
1827,,
1828,,
1829,,
1830,,
1831,,
1832,Yes,Revising and practicing with my friend
1833,Yes,Practicing my previous work
1834,Yes,Revising and practicing
1835,Yes,Revision and practice
1836,Yes,"Homework, group discussion"
1837,,
1838,Yes,Discussion
1839,Yes,Gruop discussion
1840,No,
1841,Yes,Home work and reading
1842,Yes,Reading and exercise
1843,Yes,Discuss with fellow students and exercises
1844,Yes,Discuss with friends
1845,Yes,Read books share with the other
1846,Yes,Reading and exercise
1847,Yes,Exercises and group discussion
1848,Yes,Reading text book making exercise
1849,Yes,Reading and discussion
1850,Yes,Homework and discussion
1851,Yes,Revising and practicing
1852,Yes,Revision
1853,Yes,Practicing with my friend
1854,Yes,Practicing with my friend
1855,Yes,Revision and practice
1856,Yes,Revision and practice
1857,,
1858,No,
1859,Yes,sometimes  I read  in my textbooks 
1860,,
1861,,
1862,,
1863,,
1864,,
1865,,
1866,No,
1867,No,
1868,Yes,I read science and Maths.
1869,No,
1870,Yes,Revision of books
1871,No,
1872,Yes,"Home work, reading books"
1873,Yes,Reading books
1874,Yes,Reading books
1875,,
1876,No,
1877,Yes,I used  to read  at home 
1878,,
1879,,
1880,,
1881,,
1882,,
1883,,
1884,,
1885,,
1886,,
1887,,
1888,,
1889,,
1890,,
1891,Yes,"Reading,washing TV"
1892,Yes,Reading text books
1893,Yes,"Washing TV,playing foot ball"
1894,Yes,"Reading,playing foot ball"
1895,Yes,"Reading,playing will valley ball"
1896,,
1897,,
1898,,
1899,,
1900,,
1901,,
1902,,
1903,,
1904,Yes,"Reading,playing foot ball"
1905,Yes,"Reading,"
1906,Yes,"Reading,cooking and my mother"
1907,Yes,Reading text books
1908,Yes,"Reading,playing"
1909,,
1910,,
1911,,
1912,,
1913,Yes,Studies
1914,Yes,Studies
1915,Yes,Studies
1916,Yes,Studies
1917,Yes,Studies
1918,Yes,Reading the school pumphlet
1919,Yes,Studies
1920,Yes,Group studies
1921,Yes,Group studies
1922,Yes,Studies
1923,Yes,Studies
1924,,
1925,,
1926,,
1927,Yes,Reading at home
1928,Yes,Reading
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,No,
1940,Yes,Reading
1941,,
1942,Yes,Reading
1943,Yes,Reading and other things.
1944,Yes,Reading and doing other things apart from radio lessons.
1945,,
1946,No,
1947,Yes,Study books
1948,Yes,Reading 
1949,Yes,Reading
1950,No,
1951,,
1952,,
1953,Yes,Revising my school work and field work
1954,Yes,Working in the garden work and revising my school work
1955,Yes,A teacher used to come and teach us at home
1956,Yes,Cooking
1957,Yes,Washing and cleaning
1958,Yes,Revision of the school work
1959,,
1960,,
1961,,
1962,Yes,Revision my previous work
1963,,
1964,,
1965,Yes,Revising my lessons
1966,,
1967,No,
1968,,
1969,No,
1970,,
1971,,
1972,Yes,Reading my book
1973,,
1974,Yes,I'm reading my exercise books.
1975,,
1976,No,
1977,,
1978,No,
1979,No,
1980,,
1981,,
1982,,
1983,No,
1984,,
1985,No,
1986,Yes,Revising my previous work
1987,Yes,General revision
1988,Yes,Revision
1989,No,
1990,Yes,Practicing my previous work done in the school
1991,No,
1992,No,
1993,,
1994,,
1995,No,
1996,No,
1997,No,
1998,,
1999,,
2000,No,
2001,No,
2002,No,
2003,No,
2004,,
2005,,
2006,No,
2007,No,
2008,No,
2009,No,
2010,No,
2011,,
2012,No,
2013,No,
2014,,
2015,No,
2016,No,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2024,,
2025,No,
2026,Yes,Doing my previous work
2027,,
2028,,
2029,No,
2030,,
2031,,
2032,Yes,Practicing my previous work
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
2039,,
2040,,
2041,Yes,Self studies at home
2042,,
2043,,
2044,Yes,Private coaching
2045,Yes,Self studies at home
2046,,
2047,,
2048,,
2049,,
2050,No,
2051,No,
2052,,
2053,Yes,Revision of notice books
2054,Yes,Mostly farm work
2055,,
2056,No,
2057,,
2058,,
2059,,
2060,,
2061,Yes,Studying 
2062,No,
2063,No,
2064,Yes,I read  my textbooks.
2065,Yes,Studying 
2066,Yes,Studying 
2067,Yes,Reavising previous lessons.
2068,,
2069,Yes,Reavising previous work.
2070,Yes,Revising previous lessons.
2071,,
2072,Yes,Studying 
2073,Yes,Revising previous lessons through reading textbooks.
2074,Yes,Studying 
2075,,
2076,,
2077,Yes,Studying 
2078,,
2079,No,
2080,Yes,Revising my previous work
2081,Yes,Garden work and revising my school work
2082,Yes,Making my revision on the previous work
2083,Yes,Practicing my previous work
2084,Yes,Revising my work
2085,Yes,Revision on my previous work
2086,Yes,Discussion in group
2087,Yes,Working with friends and doing exercises
2088,Yes,Discuss with friends and do more many exercise
2089,,
2090,Yes,Group work and exercise
2091,Yes,Group discussion and self test exercise
2092,Yes,Group work and reading plus doing exercises
2093,Yes,We discuss with friends and fellow students
2094,Yes,Practicing my previous work
2095,Yes,Revision
2096,,
2097,,
2098,,
2099,,
2100,,
2101,,
2102,,
2103,,
2104,,
2105,,
2106,,
2107,,
2108,,
2109,,
2110,,
2111,,
2112,,
2113,,
2114,,
2115,,
2116,,
2117,,
2118,,
2119,,
2120,,
2121,,
2122,,
2123,,
2124,,
2125,,
2126,,
2127,,
2128,,
2129,,
2130,Yes,Reading and playing valley ball
2131,Yes,Reading 
2132,Yes,Reading cooking
2133,Yes,"Washing my clothes,cooking and reading"
2134,Yes,Readings
2135,Yes,Reading and playing foot ball
2136,Yes,Readings
2137,Yes,Reading
2138,Yes,Readings
2139,Yes,Because I want to increase my knowledge 
2140,Yes,"Reading ,practice textbooks"
2141,Yes,Because  I want to have more knowledge 
2142,Yes,Reading textbooks
2143,Yes,Reading Practicing 
2144,Yes,Because I want keep my self with my textbooks 
2145,Yes,"Reading,attending news "
2146,Yes,Reading 
2147,,
2148,,
2149,,
2150,Yes,Reading 
2151,Yes,"Reading ,reviewing "
2152,No,
2153,No,
2154,No,
2155,Yes,Reading 
2156,Yes,Reading textbooks
2157,Yes,"Reading ,reviewing "
2158,Yes,"Reading ,reviewing "
2159,No,
2160,Yes,Reading 
2161,Yes,Reading 
2162,Yes,Reading 
2163,Yes,"Reading ,practicing "
2164,Yes,"Practicing ,"
2165,,
2166,,
2167,,
2168,,
2169,,
2170,,
2171,,
2172,Yes,Reading 
2173,Yes,Reading 
2174,Yes,Reading 
2175,Yes,Reading 
2176,Yes,Reading 
2177,Yes,Reading
2178,,
2179,No,
2180,No,
2181,Yes,Reading textbooks
2182,,
2183,Yes,Doing house hold work and read my books with my friends
2184,,
2185,Yes,House hold work
2186,,
2187,,
2188,,
2189,,
2190,,
2191,,
2192,,
2193,,
2194,,
2195,,
2196,,
2197,Yes,Science 
2198,No,
2199,No,
2200,,
2201,,
2202,,
2203,No,
2204,No,
2205,No,
2206,No,
2207,,
2208,,
2209,No,
2210,,
2211,,
2212,No,
2213,No,
2214,,
2215,No,
2216,Yes,English 
2217,No,
2218,Yes,I practice  English 
2219,No,
2220,,
2221,Yes,Reading  English Reader
2222,,
2223,No,
2224,,
2225,No,
2226,No,
2227,No,
2228,No,
2229,No,
2230,No,
2231,No,
2232,No,
2233,No,
2234,No,
2235,No,
2236,No,
2237,No,
2238,No,
2239,No,
2240,No,
2241,,
2242,,
2243,,
2244,No,
2245,,
2246,,
2247,,
2248,,
2249,,
2250,No,
2251,No,
2252,No,
2253,No,
2254,No,
2255,No,
2256,,
2257,No,
2258,No,
2259,No,
2260,No,
2261,No,
2262,No,
2263,No,
2264,No,
2265,No,
2266,No,
2267,No,
2268,No,
2269,No,
2270,,
2271,,
2272,,
2273,,
2274,,
2275,,
2276,,
2277,,
2278,,
2279,,
2280,,
2281,,
2282,,
2283,,
2284,Yes,Reading handout given by the school.
2285,Yes,Student handout.
2286,Yes,Study package
2287,Yes,School handout
2288,Yes,Reading other books
2289,Yes, study package for the school
2290,Yes,School handout
2291,,
2292,,
2293,,
2294,,
2295,,
2296,,
2297,,
2298,,
2299,,
2300,,
2301,,
2302,,
2303,,
2304,,
2305,,
2306,,
2307,,
2308,,
2309,,
2310,,
2311,,
2312,,
2313,,
2314,,
2315,No,
2316,,
2317,,
2318,,
2319,Yes,Practicing my previous work
2320,,
2321,,
2322,,
2323,,
2324,,
2325,,
2326,,
2327,,
2328,,
2329,,
2330,,
2331,,
2332,,
2333,,
2334,,
2335,,
2336,,
2337,,
2338,,
2339,Yes,Cooking
2340,,
2341,,
2342,,
2343,,
2344,,
2345,No,
2346,Yes,Reading
2347,No,
2348,No,
2349,,
2350,No,
2351,No,
2352,Yes,Cooking and collecting water
2353,Yes,Reading books
2354,,
2355,,
2356,,
2357,,
2358,,
2359,,
2360,,
2361,No,
2362,,
2363,,
2364,,
2365,,
2366,Yes,Read my books
2367,No,
2368,Yes,Read books
2369,Yes,We only read and listen to radio
2370,No,
2371,Yes,Reading
2372,Yes,Reading
2373,No,
2374,No,
2375,Yes,Reading 
2376,No,
2377,Yes,Reading 
2378,,
2379,No,
2380,No,
2381,,
2382,,
2383,,
2384,,
2385,,
2386,,
2387,No,
2388,No,
2389,No,
2390,Yes,Study books
2391,No,
2392,,
2393,,
2394,Yes,Study books
2395,Yes,Study books
2396,,
2397,,
2398,,
2399,,
2400,,
2401,,
2402,,
2403,,
2404,,
2405,,
2406,,
2407,,
2408,,
2409,,
2410,,
2411,,
2412,,
2413,,
2414,,
2415,,
2416,Yes,Revising my notes
2417,Yes,Revising my notes
2418,No,
2419,Yes,Revising my notes
2420,No,
2421,No,
2422,Yes,Revising my notes
2423,,
2424,No,
2425,No,
2426,,
2427,No,
2428,Yes,Reading
2429,Yes,Reading
2430,No,
2431,Yes,Reading books
2432,Yes,Reading
2433,Yes,Reading
2434,No,
2435,Yes,Reading
2436,No,
2437,Yes,Reading
2438,Yes,Reading
2439,Yes,Reading books
2440,,
2441,,
2442,,
2443,,
2444,,
2445,,
2446,,
2447,,
2448,,
2449,Yes,Reading and coping note
2450,No,
2451,No,
2452,,
2453,,
2454,No,
2455,No,
2456,No,
2457,Yes,I used  to study  at home 
2458,No,
2459,Yes,homework 
2460,Yes,"I was  cultivating, "
2461,,
2462,,
2463,,
2464,,
2465,No,
2466,No,
2467,No,
2468,No,
2469,Yes,Cooking 
2470,Yes,Studying 
2471,Yes,Studies 
2472,Yes,House materials 
2473,Yes,Studying 
2474,Yes,Studying 
2475,Yes,Studying
2476,Yes,Reading from the books
2477,,
2478,,
2479,,
2480,No,
2481,Yes,Helping my family cleaning the fens
2482,No,
2483,,
2484,No,
2485,Yes,Cooking
2486,Yes,Washing
2487,,
2488,No,
2489,No,
2490,,
2491,,
2492,,
2493,,
2494,No,
2495,No,
2496,No,
2497,Yes,Revising my exercise books at home.
2498,Yes,Reading books and revising my exercise books
2499,Yes,Revising my exercise books
2500,,
2501,,
2502,,
2503,,
2504,Yes,Doing housework and reading
2505,,
2506,Yes,Housework and reading
2507,Yes,Housework and reading
2508,Yes,Reading 
2509,Yes,Looking after the goats/sheep and reading
2510,Yes,Harvesting crops and reading
2511,No,
2512,,
2513,,
2514,Yes,Reading textbooks 
2515,,
2516,,
2517,Yes,"Practice  ,reading "
2518,Yes,"Cultivation, harvesting and reading"
2519,Yes,Reading and housework
2520,Yes,"Reading ,practicing "
2521,Yes,Housework and reading
2522,Yes,Housework and reading
2523,Yes,Reading textbooks 
2524,Yes,Looking after goats/sheep and reading
2525,,
2526,Yes,"Cooking, cleaning of home compound and reading"
2527,Yes,"Practicing ,Reading "
2528,Yes,Reading 
2529,Yes,Reading 
2530,,
2531,,
2532,,
2533,Yes,"Reading textbooks ,looking stroy"
2534,Yes,Reading textbooks 
2535,Yes,Reading 
2536,Yes,Reading
2537,Yes,Reading
2538,Yes,Reading
2539,Yes,"Cooking,reading"
2540,Yes,Reading
2541,Yes,Reading
2542,Yes,Reading
2543,Yes,Reading
2544,,
2545,,
2546,,
2547,,
2548,,
2549,Yes,Reading
2550,Yes,Reading
2551,Yes,Studying at home
2552,,
2553,,
2554,,
2555,,
2556,,
2557,,
2558,,
2559,,
2560,,
2561,Yes,Revise my books.
2562,Yes,Revise my books.
2563,Yes,Reading my books.
2564,Yes,Read my books.
2565,Yes,I go to the garden.
2566,Yes,Revise my books.
2567,Yes,Revising my books.
2568,No,
2569,No,
2570,No,
2571,Yes,Revising my books.
2572,Yes,Revising my school books.
2573,,
2574,,
2575,,
2576,,
2577,No,
2578,Yes,Revising my books.
2579,,
2580,,
2581,,
2582,Yes,Revising my books.
2583,Yes,Revising my books.
2584,Yes,Revising my books.
2585,No,
2586,Yes,Revising school notes
2587,No,
2588,Yes,Practising maths subject
2589,,
2590,No,
2591,Yes,To recalled what has been taught from the school and build courage that schools reopen one time reopen.
2592,Yes,Reading at home during free time
2593,Yes,Remain and maintain passed knowledge up to date.
2594,,
2595,,
2596,,
2597,,
2598,No,
2599,,
2600,No,
2601,No,
2602,No,
2603,No,
2604,,
2605,,
2606,,
2607,No,
2608,,
2609,,
2610,,
2611,,
2612,,
2613,,
2614,,
2615,No,
2616,,
2617,No,
2618,,
2619,No,
2620,No,
2621,,
2622,No,
2623,No,
2624,,
2625,Yes,Reading my previous notes
2626,,
2627,,
2628,,
2629,No,
2630,,
2631,,
2632,,
2633,,
2634,,
2635,,
2636,,
2637,,
2638,,
2639,,
2640,,
2641,,
2642,,
2643,,
2644,,
2645,,
2646,,
2647,,
2648,,
2649,,
2650,,
2651,,
2652,,
2653,,
2654,,
2655,,
2656,,
2657,,
2658,,
2659,Yes,Reading
2660,Yes,Reading
2661,Yes,Revising what have been taught in school before
2662,Yes,I use to revise my school notes
2663,No,
2664,Yes,I do read my books at home
2665,No,
2666,No,
2667,Yes,Reading
2668,,
2669,,
2670,Yes,Reading my books
2671,No,
2672,No,
2673,No,
2674,Yes,Reading the textbooks
2675,Yes,Reading
2676,,
2677,No,
2678,Yes,Reading notebooks
2679,Yes,Reading
2680,Yes,Reading
2681,Yes,Reading
2682,Yes,Reading
2683,No,
2684,Yes,Revision on rear bases
2685,,
2686,Yes,Reading my notes
2687,Yes,Reading books
2688,Yes,Reading my textbooks
2689,Yes,Reading my books
2690,No,
2691,Yes,Reading books
2692,Yes,Reading my books
2693,Yes,Reading my note
2694,Yes,Reading my notes
2695,Yes,Reading
2696,,
2697,Yes,Revised my books
2698,No,
2699,No,
2700,No,
2701,Yes,Reading novel and English books
2702,No,
2703,,
2704,No,
2705,No,
2706,No,
2707,No,
2708,No,
2709,No,
2710,No,
2711,No,
2712,No,
2713,No,
2714,No,
2715,No,
2716,No,
2717,No,
2718,No,
2719,No,
2720,No,
2721,,
2722,,
2723,,
2724,,
2725,,
2726,,
2727,,
2728,,
2729,,
2730,,
2731,,
2732,No,
2733,No,
2734,No,
2735,No,
2736,,
2737,No,
2738,No,
2739,No,
2740,No,
2741,No,
2742,Yes,I always revise my subjects
2743,No,
2744,No,
2745,Yes,To update my mine.
2746,,
2747,,
2748,Yes,Washing of dishes and cooking.
2749,Yes,Revised my proviouse work.
2750,,
2751,,
2752,No,
2753,No,
2754,,
2755,,
2756,,
2757,No,
2758,Yes,Revision and reading
2759,Yes,Group discussion and reading exercises
2760,Yes,Exercises and group discussion
2761,Yes,Reading and doing assignment
2762,Yes,Reading and exercises
2763,Yes,Homework and group discussion
2764,,
2765,Yes,Group discussion and reading exercises
2766,Yes,Group discussion and reading
2767,Yes,Group discussion and reading
2768,Yes,Reading and group discussion
2769,No,
2770,No,
2771,No,
2772,Yes,I do revise my lessons
2773,,
2774,Yes,Study some times based on free time 
2775,Yes,Maintain the passed knowledge learnt from the teachers
2776,Yes,Studying 
2777,,
2778,,
2779,Yes,Making cakes 
2780,Yes,Studying 
2781,,
2782,No,
2783,Yes,Studying 
2784,Yes,Studying 
2785,Yes,Studying 
2786,Yes,Studying 
2787,No,
2788,,
2789,,
2790,,
2791,Yes,To remind her of passes lessons and keep fresh
2792,,
2793,,
2794,Yes,Revising his notes at home 
2795,,
2796,,
2797,,
2798,Yes,Revising books
2799,Yes,Reading
2800,Yes,Reading
2801,Yes,Reading
2802,Yes,Reading
2803,Yes,Reading
2804,Yes,Reading
2805,Yes,Reading
2806,,
2807,,
2808,,
2809,,
2810,,
2811,,
2812,Yes,Studies
2813,No,
2814,No,
2815,No,
2816,No,
2817,No,
2818,No,
2819,No,
2820,No,
2821,No,
2822,No,
2823,No,
2824,No,
2825,No,
2826,No,
2827,No,
2828,No,
2829,No,
2830,,
2831,No,
2832,No,
2833,No,
2834,,
2835,No,
2836,No,
2837,,
2838,,
2839,,
2840,,
2841,,
2842,,
2843,,
2844,,
2845,,
2846,,
2847,,
2848,Yes,Reading note and textbook.
2849,,
2850,,
2851,,
2852,,
2853,,
2854,,
2855,,
2856,,
2857,,
2858,,
2859,Yes,Doing home work like clear the House compound
2860,No,
2861,No,
2862,No,
2863,Yes,Am doing alote of things like clear the compound 
2864,No,
2865,No,
2866,No,
2867,No,
2868,No,
2869,No,
2870,No,
2871,No,
2872,No,
2873,No,
2874,Yes,To remind me of the passed lessons
2875,,
2876,Yes,Revising my notes
2877,No,
2878,No,
2879,,
2880,,
2881,No,
2882,,
2883,Yes,Revising my notes
2884,Yes,I do revise my books sometimes back but when the opening of delayed I gave up.
2885,Yes,Reading
2886,Yes,Studying at home
2887,No,
2888,Yes,Reading the past papers
2889,No,
2890,No,
2891,,
2892,Yes,Reading textbooks
2893,,
2894,,
2895,,
2896,,
2897,,
2898,,
2899,,
2900,,
2901,,
2902,,
2903,Yes,Reading textbooks
2904,Yes,Reading
2905,Yes,Reading
2906,Yes,Reading
2907,Yes,Reading
2908,Yes,Reading
2909,Yes,Reading
2910,Yes,Reading
2911,Yes,Reading
2912,Yes,Reading
2913,Yes,Reading
2914,Yes,Reading
2915,Yes,Reading
2916,Yes,Reading
2917,Yes,Reading
2918,Yes,Reading
2919,Yes,Reading
2920,Yes,Reading
2921,Yes,House activities 
2922,,
2923,Yes,Revision
2924,,
2925,,
2926,,
2927,Yes,Studying at home
2928,Yes,Studying
2929,Yes,Studying at home
2930,Yes,Reading at home
2931,No,
2932,Yes,Reading 
2933,Yes,Reading. Textbooks 
2934,Yes,Reading execses 
2935,Yes,I reading textbooks
2936,Yes,Reading text books
2937,Yes,Reading textbooks 
2938,Yes,Reading textbooks 
2939,Yes,Reading books 
2940,Yes,Reading textbooks 
2941,Yes,Reading textbooks 
2942,Yes,Reading textbooks 
2943,,
2944,,
2945,,
2946,,
2947,,
2948,Yes,"Practicing ,reading textbooks "
2949,Yes,Reads my textbooks 
2950,Yes,Reading my books 
2951,,
2952,Yes,Reading textbooks 
2953,Yes,Reading books 
2954,,
2955,,
2956,,
2957,,
2958,,
2959,,
2960,,
2961,,
2962,Yes,Reading 
2963,No,
2964,,
2965,Yes,Reading
2966,No,
2967,Yes,Reading
2968,Yes,Reading
2969,Yes,Read my textbooks 
2970,Yes,Reading
2971,No,
2972,Yes,Reading
2973,Yes,Reading
2974,Yes,Reading my textbooks 
2975,No,
2976,Yes,Reading textbooks 
2977,No,
2978,,
2979,Yes,Reading my textbooks 
2980,Yes,Reading
2981,Yes,Reading
2982,Yes,Reading
2983,Yes,Reading 
2984,Yes,Practicing 
2985,,
2986,Yes,Reading 
2987,Yes,Reading 
2988,Yes,Reading 
2989,,
2990,No,
2991,Yes,Reading my books
2992,Yes,Reading books
2993,No,
2994,No,
2995,No,
2996,,
2997,,
2998,,
2999,,
3000,,
3001,Yes,Reading of Noble at home 
3002,Yes,Revision
3003,,
3004,,
3005,,
3006,,
3007,,
3008,,
3009,,
3010,,
3011,,
3012,,
3013,,
3014,No,
3015,,
3016,,
3017,Yes,Revisions at home
3018,No,
3019,Yes,Revisions at home
3020,,
3021,Yes,Private coaching
3022,No,
3023,No,
3024,No,
3025,No,
3026,Yes,Private coaching
3027,Yes,Revisions
3028,No,
3029,No,
3030,No,
3031,,
3032,,
3033,Yes,I used to practice at home
3034,No,
3035,,
3036,,
3037,No,
3038,Yes,Reading through text books
3039,No,
3040,No,
3041,Yes,Reading at home
3042,Yes,Reading
3043,No,
3044,No,
3045,,
3046,,
3047,,
3048,No,
3049,Yes,I used to read at home
3050,No,
3051,,
3052,Yes,Practice exercise books
3053,No,
3054,No,
3055,,
3056,No,
3057,Yes,Revising my notes
3058,No,
3059,No,
3060,No,
3061,No,
3062,No,
3063,Yes,Revising my notes
3064,Yes,Reading my book
3065,No,
3066,,
3067,,
3068,No,
3069,No,
3070,No,
3071,No,
3072,No,
3073,No,
3074,No,
3075,No,
3076,,
3077,,
3078,,
3079,,
3080,No,
3081,,
3082,Yes,Practice my previous notes
3083,Yes,Reading
3084,No,
3085,,
3086,No,
3087,No,
3088,Yes,Reading my previous notes
3089,No,
3090,,
3091,No,
3092,Yes,I do read my books
3093,No,
3094,Yes,Reading books 
3095,,
3096,,
3097,,
3098,Yes,So that to maintain the knowledge attained early from school
3099,No,
3100,Yes,Reading books 
3101,Yes,Studying the subject that falls on the time table
3102,Yes,Group discussion
3103,No,
3104,No,
3105,Yes,Reading of books
3106,Yes,Reading books
3107,,
3108,No,
3109,,
3110,,
3111,,
3112,,
3113,Yes,Group discussion
3114,Yes,Teaching/group discussion
3115,Yes,Group discussion
3116,Yes,Attending classes
3117,,
3118,,
3119,,
3120,,
3121,,
3122,Yes,Someone helping me by teaching me.
3123,Yes,Revising my exercise books
3124,No,
3125,No,
3126,No,
3127,No,
3128,Yes,Calculate maths
3129,Yes,Studying 
3130,Yes,Studying 
3131,Yes,Studying 
3132,Yes,Studying maths and English
3133,,
3134,,
3135,,
3136,,
3137,,
3138,,
3139,,
3140,No,
3141,No,
3142,No,
3143,Yes,Am at garden
3144,,
3145,Yes,Reading notes and past papers
3146,,
3147,,
3148,,
3149,Yes,Some times studying my books
3150,No,
3151,Yes,House hold work
3152,No,
3153,Yes,Same time I revise my previous lesson.
3154,,
3155,Yes,I do revised my previous lessons.
3156,,
3157,Yes,I do reade my previous lessons.
3158,No,
3159,,
3160,,
3161,No,
3162,,
3163,No,
3164,,
3165,,
3166,,
3167,Yes,Reading at home.
3168,Yes,I do read at home.
3169,No,
3170,No,
3171,No,
3172,Yes,Reading .
3173,Yes,Reading.
3174,Yes,Reading and writing at home
3175,No,
3176,No,
3177,Yes,Calculating Maths.
3178,Yes,Maths.
3179,Yes,Reading .
3180,,
3181,Yes,Calculating Maths.
3182,,
3183,,
3184,No,
3185,Yes,I read at home.
3186,No,
3187,,
3188,,
3189,,
3190,,
3191,Yes,I do reading at home.
3192,No,
3193,No,
3194,No,
3195,No,
3196,Yes,I do practice always at home to help me in remembering what had been taught.
3197,Yes,English and Mathematics.
3198,Yes, l read Science and CRE subjects.
3199,No,
3200,Yes,Reading .
3201,No,
3202,No,
3203,No,
3204,Yes,Reading.
3205,,
3206,,
3207,,
3208,,
3209,,
3210,Yes,I always calculate some numbers.
3211,,
3212,,
3213,,
3214,No,
3215,No,
3216,,
3217,,
3218,,
3219,Yes,I read my exercise books
3220,,
3221,Yes,Reading books
3222,Yes,Revision at home
3223,,
3224,No,
3225,Yes,Reading my books
3226,Yes,Reading notes books
3227,,
3228,Yes,"1. Doing the cooking
2. Pounding grind
3. Fetching water"
3229,Yes,"Doing the cooking
Pounding grind"
3230,,
3231,Yes,"Pounding grind
Milking cows
"
3232,,
3233,Yes,Herding cattle
3234,No,
3235,No,
3236,No,
3237,No,
3238,No,
3239,No,
3240,No,
3241,No,
3242,,
3243,No,
3244,No,
3245,No,
3246,No,
3247,No,
3248,Yes,Cooking
3249,,
3250,,
3251,,
3252,,
3253,Yes,Reading my exercise book
3254,,
3255,Yes,Reading my book
3256,Yes,Reading My Exercise Book
3257,,
3258,No,
3259,,
3260,,
3261,,
3262,,
3263,,
3264,,
3265,Yes,Study books
3266,,
3267,Yes,Sometime I use to read my books
3268,Yes,We are doing group discussion with other girls from other schools
3269,Yes,My big brother teaches me and give me exercise 
3270,Yes,Group discussion with my classmates from neighborhood
3271,No,
3272,Yes,Testing ourselves from what we learned with my sister
3273,,
3274,Yes,My elder sister who is in P7 sometimes teaches me during her free time
3275,No,
3276,Yes,Study books
3277,,
3278,No,
3279,No,
3280,No,
3281,No,
3282,No,
3283,No,
3284,No,
3285,No,
3286,No,
3287,,
3288,,
3289,Yes,Revising books
3290,Yes,Revising books
3291,Yes,Revising books
3292,Yes,Reading books
3293,Yes,Revising books
3294,Yes,Revising books
3295,,
3296,Yes,help my family
3297,Yes,domestic Work
3298,,
3299,No,
3300,Yes,Revising books
3301,Yes,Revising books
3302,Yes,Revising books
3303,Yes,Study books
3304,Yes,Revising books
3305,Yes,Study books
3306,Yes,Study books
3307,,
3308,,
3309,,
3310,Yes,Study books
3311,,
3312,,
3313,,
3314,Yes,Harvesting garoundnut
3315,,
3316,,
3317,Yes,I read any thing I find around
3318,,
3319,Yes,am revising my old notes.
3320,No,
3321,Yes,am reading my old notes.
3322,,
3323,,
3324,,
3325,,
3326,Yes,Doing revision.
3327,Yes,Revision .
3328,No,
3329,Yes,"Looking after goats, cattles and harvesting groundnut"
3330,Yes,I do my holiday package.
3331,,
3332,No,
3333,,
3334,,
3335,Yes,I read previous notes
3336,,
3337,No,
3338,No,
3339,No,
3340,No,
3341,,
3342,,
3343,,
3344,,
3345,Yes,Reading my books
3346,No,
3347,No,
3348,No,
3349,No,
3350,,
3351,No,
3352,,
3353,No,
3354,No,
3355,No,
3356,No,
3357,Yes,Studying with friends 
3358,,
3359,Yes,We do study at home during our free time
3360,Yes,To make her fresh with hope that schools are going to reopen soon
3361,,
3362,Yes,House activities 
3363,No,
3364,No,
3365,Yes,Studying 
3366,Yes,House activities 
3367,Yes,House activities 
3368,No,
3369,,
3370,Yes,House activities 
3371,Yes,Studying 
3372,Yes,Studying 
3373,Yes,Studying 
3374,Yes,Studying 
3375,Yes,Studying 
3376,Yes,Studying 
3377,,
3378,,
3379,,
3380,,
3381,,
3382,,
3383,,
3384,,
3385,,
3386,,
3387,,
3388,,
3389,,
3390,Yes,Ido revised my previous lessons for cre.
3391,,
3392,Yes,He used to Read CRE  and social studies.
3393,,
3394,No,
3395,,
3396,Yes,Reading my books
3397,,
3398,,
3399,No,
3400,,
3401,No,
3402,,
3403,Yes,Reading
3404,Yes,Reading
3405,,
3406,Yes,Just washing and cooking
3407,,
3408,No,
3409,Yes,Reading
3410,Yes,Reading
3411,Yes,Reading
3412,,
3413,Yes,Revising my books
3414,,
3415,Yes,Reading from books
3416,,
3417,,
3418,Yes,Cooking
3419,Yes,Cutting Grass
3420,No,
3421,No,
3422,,
3423,Yes,Home actives
3424,,
3425,Yes,Home actives
3426,,
3427,Yes,Fetching water and cooking as well.
3428,,
3429,,
3430,,
3431,,
3432,No,
3433,,
3434,No,
3435,Yes,Ido revised my previous lessons for cre.
3436,,
3437,,
3438,,
3439,,
3440,Yes,Revising notes.
3441,Yes,Reading and revising social studies and mathematics only.
3442,Yes,Revising notes.
3443,No,
3444,No,
3445,No,
3446,,
3447,No,
3448,,
3449,,
3450,,
3451,,
3452,,
3453,Yes,I doing cooking in absent of radio 
3454,No,
3455,No,
3456,,
3457,Yes,Reading holiday packagefrom the school
3458,Yes,Reading my holiday package
3459,,
3460,No,
3461,Yes,Normally read science and social studies
3462,,
